,Month,Municipality,Offence group and specifier for criminal act,Information,value
63,2009M03,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),30.0
64,2009M03,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),16.0
65,2009M03,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
66,2009M03,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
67,2009M03,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),5.0
68,2009M03,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
69,2009M03,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
70,2009M03,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),30.0
71,2009M03,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
72,2009M03,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
73,2009M03,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
74,2009M03,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
75,2009M03,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
76,2009M03,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
77,2009M03,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
78,2009M03,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
79,2009M03,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
80,2009M03,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
81,2009M03,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
82,2009M03,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
83,2009M03,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
84,2009M03,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
85,2009M03,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
86,2009M03,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
87,2009M03,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
88,2009M03,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
89,2009M03,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
90,2009M04,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),183.0
91,2009M04,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),96.0
