,Month,Municipality,Offence group and specifier for criminal act,Information,value
2837,2016M11,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
2838,2016M11,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
2839,2016M11,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
2840,2016M11,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
2841,2016M11,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
2842,2016M11,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
2843,2016M11,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
2844,2016M11,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
2845,2016M11,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
2846,2016M11,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
2847,2016M11,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
2848,2016M11,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
2849,2016M11,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
2850,2016M12,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),233.0
2851,2016M12,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),108.0
2852,2016M12,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),73.0
2853,2016M12,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),50.0
2854,2016M12,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),11.0
2855,2016M12,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
2856,2016M12,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
2857,2016M12,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),12.0
2858,2016M12,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),0.0
2859,2016M12,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
2860,2016M12,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),52.0
2861,2016M12,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
2862,2016M12,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
2863,2016M12,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
2864,2016M12,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
2865,2016M12,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
2866,2016M12,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
2867,2016M12,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
2868,2016M12,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
2869,2016M12,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
2870,2016M12,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
2871,2016M12,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
2872,2016M12,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
2873,2016M12,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
2874,2016M12,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
2875,2016M12,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
2876,2016M12,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
2877,2016M12,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
2878,2016M12,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
2879,2016M12,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
2880,2017M01,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),297.0
2881,2017M01,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),105.0
2882,2017M01,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),103.0
2883,2017M01,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),76.0
2884,2017M01,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),14.0
2885,2017M01,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
2886,2017M01,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
2887,2017M01,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),8.0
2888,2017M01,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),5.0
2889,2017M01,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
2890,2017M01,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),89.0
2891,2017M01,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
2892,2017M01,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
2893,2017M01,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
2894,2017M01,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
2895,2017M01,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
2896,2017M01,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
2897,2017M01,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
2898,2017M01,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
2899,2017M01,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
2900,2017M01,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
2901,2017M01,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
2902,2017M01,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
2903,2017M01,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
2904,2017M01,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
2905,2017M01,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
2906,2017M01,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
2907,2017M01,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
2908,2017M01,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
2909,2017M01,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
2910,2017M02,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),264.0
2911,2017M02,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),90.0
2912,2017M02,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),124.0
2913,2017M02,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),72.0
2914,2017M02,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),39.0
2915,2017M02,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
2916,2017M02,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
2917,2017M02,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),9.0
2918,2017M02,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),4.0
2919,2017M02,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
2920,2017M02,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),50.0
2921,2017M02,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
2922,2017M02,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
2923,2017M02,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
2924,2017M02,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
2925,2017M02,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
2926,2017M02,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
2927,2017M02,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
2928,2017M02,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
2929,2017M02,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
2930,2017M02,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
2931,2017M02,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
2932,2017M02,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
2933,2017M02,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
2934,2017M02,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
2935,2017M02,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
2936,2017M02,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
2937,2017M02,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
2938,2017M02,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
2939,2017M02,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
2940,2017M03,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),250.0
2941,2017M03,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),89.0
2942,2017M03,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),92.0
2943,2017M03,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),59.0
2944,2017M03,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),22.0
2945,2017M03,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
2946,2017M03,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
2947,2017M03,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),10.0
2948,2017M03,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
2949,2017M03,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
2950,2017M03,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),69.0
2951,2017M03,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
2952,2017M03,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
2953,2017M03,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
2954,2017M03,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
2955,2017M03,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
2956,2017M03,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
2957,2017M03,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
2958,2017M03,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
2959,2017M03,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
2960,2017M03,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
2961,2017M03,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
2962,2017M03,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
2963,2017M03,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
2964,2017M03,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
2965,2017M03,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
2966,2017M03,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
2967,2017M03,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
2968,2017M03,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
2969,2017M03,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
2970,2017M04,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),239.0
2971,2017M04,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),83.0
2972,2017M04,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),102.0
2973,2017M04,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),73.0
2974,2017M04,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),11.0
2975,2017M04,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
2976,2017M04,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
2977,2017M04,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),16.0
2978,2017M04,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),2.0
2979,2017M04,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
2980,2017M04,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),54.0
2981,2017M04,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
2982,2017M04,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
2983,2017M04,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
2984,2017M04,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
2985,2017M04,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
2986,2017M04,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
2987,2017M04,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
2988,2017M04,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
2989,2017M04,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
2990,2017M04,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
2991,2017M04,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
2992,2017M04,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
2993,2017M04,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
2994,2017M04,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
2995,2017M04,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
2996,2017M04,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
2997,2017M04,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
2998,2017M04,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
2999,2017M04,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
3000,2017M05,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),280.0
3001,2017M05,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),112.0
3002,2017M05,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),111.0
3003,2017M05,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),74.0
3004,2017M05,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),15.0
3005,2017M05,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
3006,2017M05,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),1.0
3007,2017M05,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),20.0
3008,2017M05,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
3009,2017M05,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
3010,2017M05,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),57.0
3011,2017M05,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
3012,2017M05,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
3013,2017M05,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
3014,2017M05,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
3015,2017M05,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
3016,2017M05,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
3017,2017M05,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
3018,2017M05,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
3019,2017M05,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
3020,2017M05,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
3021,2017M05,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
3022,2017M05,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
3023,2017M05,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
3024,2017M05,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
3025,2017M05,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
3026,2017M05,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
3027,2017M05,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
3028,2017M05,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
3029,2017M05,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
3030,2017M06,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),270.0
3031,2017M06,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),115.0
3032,2017M06,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),104.0
3033,2017M06,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),71.0
3034,2017M06,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),17.0
3035,2017M06,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),1.0
3036,2017M06,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),1.0
3037,2017M06,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),13.0
3038,2017M06,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
3039,2017M06,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
3040,2017M06,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),51.0
3041,2017M06,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
3042,2017M06,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
3043,2017M06,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
3044,2017M06,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
3045,2017M06,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
3046,2017M06,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
3047,2017M06,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
3048,2017M06,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
3049,2017M06,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
3050,2017M06,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
3051,2017M06,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
3052,2017M06,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
3053,2017M06,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
3054,2017M06,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
3055,2017M06,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
3056,2017M06,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
3057,2017M06,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
3058,2017M06,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
3059,2017M06,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
3060,2017M07,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),272.0
3061,2017M07,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),90.0
3062,2017M07,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),114.0
3063,2017M07,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),67.0
3064,2017M07,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),19.0
3065,2017M07,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),1.0
3066,2017M07,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
3067,2017M07,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),25.0
3068,2017M07,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),2.0
